filtering_low,filtering_high,joining,sorting,agregating,grouping,filter_low_pandas,filtering_high_pandas,join_pandas,sort_pandas,agregate_pandas,grouping_pandas,query,pandas_query,iteration,time
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM disease_indicators ;,"{'FILTER_LOW', 'JOIN', 'SORTING', 'GROUPING'}",0,5.988356351852417
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM disease_indicators ;,"{'FILTER_LOW', 'JOIN', 'SORTING', 'GROUPING'}",1,5.498816728591919
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM disease_indicators ;,"{'FILTER_LOW', 'JOIN', 'SORTING', 'GROUPING'}",2,5.864217758178711
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM disease_indicators ;,"{'FILTER_LOW', 'JOIN', 'SORTING', 'GROUPING'}",3,5.680866956710815
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM disease_indicators ;,"{'FILTER_LOW', 'JOIN', 'SORTING', 'GROUPING'}",4,5.661961793899536
True,False,True,True,False,True,True,False,True,True,False,False,SELECT disease_indicators.location FROM disease_indicators GROUP BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN', 'SORTING'}",0,0.7840142250061035
True,False,True,True,False,True,True,False,True,True,False,False,SELECT disease_indicators.location FROM disease_indicators GROUP BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN', 'SORTING'}",1,0.7348768711090088
True,False,True,True,False,True,True,False,True,True,False,False,SELECT disease_indicators.location FROM disease_indicators GROUP BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN', 'SORTING'}",2,1.2150647640228271
True,False,True,True,False,True,True,False,True,True,False,False,SELECT disease_indicators.location FROM disease_indicators GROUP BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN', 'SORTING'}",3,1.2152836322784424
True,False,True,True,False,True,True,False,True,True,False,False,SELECT disease_indicators.location FROM disease_indicators GROUP BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN', 'SORTING'}",4,1.2125449180603027
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM disease_indicators ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN', 'GROUPING'}",0,13.437389373779297
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM disease_indicators ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN', 'GROUPING'}",1,12.364474058151245
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM disease_indicators ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN', 'GROUPING'}",2,13.172134160995483
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM disease_indicators ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN', 'GROUPING'}",3,11.896775484085083
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM disease_indicators ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN', 'GROUPING'}",4,12.27530026435852
True,False,True,True,False,True,True,False,True,False,False,False,SELECT disease_indicators.location FROM disease_indicators GROUP BY disease_indicators.location ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN'}",0,0.7990574836730957
True,False,True,True,False,True,True,False,True,False,False,False,SELECT disease_indicators.location FROM disease_indicators GROUP BY disease_indicators.location ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN'}",1,0.7590150833129883
True,False,True,True,False,True,True,False,True,False,False,False,SELECT disease_indicators.location FROM disease_indicators GROUP BY disease_indicators.location ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN'}",2,1.0105838775634766
True,False,True,True,False,True,True,False,True,False,False,False,SELECT disease_indicators.location FROM disease_indicators GROUP BY disease_indicators.location ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN'}",3,1.1545729637145996
True,False,True,True,False,True,True,False,True,False,False,False,SELECT disease_indicators.location FROM disease_indicators GROUP BY disease_indicators.location ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'JOIN'}",4,1.1469917297363281
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location ;,"{'FILTER_LOW', 'SORTING', 'GROUPING'}",0,8.443437814712524
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location ;,"{'FILTER_LOW', 'SORTING', 'GROUPING'}",1,8.204985618591309
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location ;,"{'FILTER_LOW', 'SORTING', 'GROUPING'}",2,8.540856838226318
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location ;,"{'FILTER_LOW', 'SORTING', 'GROUPING'}",3,8.34004521369934
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location ;,"{'FILTER_LOW', 'SORTING', 'GROUPING'}",4,8.483747243881226
True,False,True,True,False,True,True,False,False,True,False,False,SELECT disease_indicators.location FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location GROUP BY disease_indicators.location ;,"{'FILTER_LOW', 'SORTING'}",0,0.8028972148895264
True,False,True,True,False,True,True,False,False,True,False,False,SELECT disease_indicators.location FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location GROUP BY disease_indicators.location ;,"{'FILTER_LOW', 'SORTING'}",1,0.7878577709197998
True,False,True,True,False,True,True,False,False,True,False,False,SELECT disease_indicators.location FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location GROUP BY disease_indicators.location ;,"{'FILTER_LOW', 'SORTING'}",2,0.8994648456573486
True,False,True,True,False,True,True,False,False,True,False,False,SELECT disease_indicators.location FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location GROUP BY disease_indicators.location ;,"{'FILTER_LOW', 'SORTING'}",3,1.0920634269714355
True,False,True,True,False,True,True,False,False,True,False,False,SELECT disease_indicators.location FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location GROUP BY disease_indicators.location ;,"{'FILTER_LOW', 'SORTING'}",4,1.1505939960479736
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'GROUPING'}",0,17.025846481323242
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'GROUPING'}",1,14.905859470367432
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'GROUPING'}",2,15.906516075134277
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'GROUPING'}",3,14.676013231277466
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location ORDER BY disease_indicators.location ;,"{'FILTER_LOW', 'GROUPING'}",4,15.221378803253174
True,False,True,True,False,True,True,False,False,False,False,False,SELECT disease_indicators.location FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location GROUP BY disease_indicators.location ORDER BY disease_indicators.location ;,{'FILTER_LOW'},0,1.0683939456939697
True,False,True,True,False,True,True,False,False,False,False,False,SELECT disease_indicators.location FROM disease_indicators JOIN national_obesity ON disease_indicators.location = national_obesity.national_location GROUP BY disease_indicators.location ORDER BY disease_indicators.location ;,{'FILTER_LOW'},1,0.6296579837799072
