filtering_low,filtering_high,joining,sorting,agregating,grouping,filter_low_pandas,filtering_high_pandas,join_pandas,sort_pandas,agregate_pandas,grouping_pandas,query,pandas_query,iteration,time
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM electric_vehicles ;,"{'SORTING', 'JOIN', 'GROUPING', 'FILTER_LOW'}",0,5.089815378189087
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM electric_vehicles ;,"{'SORTING', 'JOIN', 'GROUPING', 'FILTER_LOW'}",1,5.13557243347168
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM electric_vehicles ;,"{'SORTING', 'JOIN', 'GROUPING', 'FILTER_LOW'}",2,5.085524797439575
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM electric_vehicles ;,"{'SORTING', 'JOIN', 'GROUPING', 'FILTER_LOW'}",3,4.92354679107666
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM electric_vehicles ;,"{'SORTING', 'JOIN', 'GROUPING', 'FILTER_LOW'}",4,5.447089672088623
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM electric_vehicles ORDER BY electric_vehicles.state ;,"{'JOIN', 'GROUPING', 'FILTER_LOW'}",0,4.9993157386779785
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM electric_vehicles ORDER BY electric_vehicles.state ;,"{'JOIN', 'GROUPING', 'FILTER_LOW'}",1,5.050748586654663
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM electric_vehicles ORDER BY electric_vehicles.state ;,"{'JOIN', 'GROUPING', 'FILTER_LOW'}",2,4.896239519119263
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM electric_vehicles ORDER BY electric_vehicles.state ;,"{'JOIN', 'GROUPING', 'FILTER_LOW'}",3,5.106729030609131
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM electric_vehicles ORDER BY electric_vehicles.state ;,"{'JOIN', 'GROUPING', 'FILTER_LOW'}",4,4.942830801010132
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id ;,"{'SORTING', 'GROUPING', 'FILTER_LOW'}",0,9.249627828598022
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id ;,"{'SORTING', 'GROUPING', 'FILTER_LOW'}",1,9.459375619888306
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id ;,"{'SORTING', 'GROUPING', 'FILTER_LOW'}",2,8.562848806381226
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id ;,"{'SORTING', 'GROUPING', 'FILTER_LOW'}",3,9.290709972381592
True,False,True,True,False,True,True,False,False,True,False,True,SELECT * FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id ;,"{'SORTING', 'GROUPING', 'FILTER_LOW'}",4,9.02270245552063
True,False,True,True,False,True,True,False,False,True,False,False,SELECT electric_vehicles.state FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id GROUP BY electric_vehicles.state ;,"{'SORTING', 'FILTER_LOW'}",0,0.3710055351257324
True,False,True,True,False,True,True,False,False,True,False,False,SELECT electric_vehicles.state FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id GROUP BY electric_vehicles.state ;,"{'SORTING', 'FILTER_LOW'}",1,0.35103774070739746
True,False,True,True,False,True,True,False,False,True,False,False,SELECT electric_vehicles.state FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id GROUP BY electric_vehicles.state ;,"{'SORTING', 'FILTER_LOW'}",2,0.4073925018310547
True,False,True,True,False,True,True,False,False,True,False,False,SELECT electric_vehicles.state FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id GROUP BY electric_vehicles.state ;,"{'SORTING', 'FILTER_LOW'}",3,0.3395802974700928
True,False,True,True,False,True,True,False,False,True,False,False,SELECT electric_vehicles.state FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id GROUP BY electric_vehicles.state ;,"{'SORTING', 'FILTER_LOW'}",4,0.33183979988098145
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id ORDER BY electric_vehicles.state ;,"{'GROUPING', 'FILTER_LOW'}",0,10.514500856399536
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id ORDER BY electric_vehicles.state ;,"{'GROUPING', 'FILTER_LOW'}",1,10.996661901473999
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id ORDER BY electric_vehicles.state ;,"{'GROUPING', 'FILTER_LOW'}",2,10.580236911773682
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id ORDER BY electric_vehicles.state ;,"{'GROUPING', 'FILTER_LOW'}",3,10.029819250106812
True,False,True,True,False,True,True,False,False,False,False,True,SELECT * FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id ORDER BY electric_vehicles.state ;,"{'GROUPING', 'FILTER_LOW'}",4,9.690316438674927
True,False,True,True,False,True,True,False,False,False,False,False,SELECT electric_vehicles.state FROM electric_vehicles JOIN vehicle_transactions ON electric_vehicles.dol_id = vehicle_transactions.dol_id GROUP BY electric_vehicles.state ORDER BY electric_vehicles.state ;,{'FILTER_LOW'},0,0.30303525924682617
