filtering_low,filtering_high,joining,sorting,agregating,grouping,filter_low_pandas,filtering_high_pandas,join_pandas,sort_pandas,agregate_pandas,grouping_pandas,query,pandas_query,iteration,time
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'SORTING', 'JOIN', 'GROUPING'}",0,0.16829180717468262
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'SORTING', 'JOIN', 'GROUPING'}",1,0.08792734146118164
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'SORTING', 'JOIN', 'GROUPING'}",2,0.10245633125305176
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'SORTING', 'JOIN', 'GROUPING'}",3,0.13794231414794922
True,False,True,True,False,True,True,False,True,True,False,True,SELECT * FROM img1_table ;,"{'FILTER_LOW', 'SORTING', 'JOIN', 'GROUPING'}",4,0.10226202011108398
True,False,True,True,False,True,True,False,True,True,False,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'SORTING', 'JOIN'}",0,0.07858419418334961
True,False,True,True,False,True,True,False,True,True,False,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'SORTING', 'JOIN'}",1,0.07668590545654297
True,False,True,True,False,True,True,False,True,True,False,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'SORTING', 'JOIN'}",2,0.06529879570007324
True,False,True,True,False,True,True,False,True,True,False,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'SORTING', 'JOIN'}",3,0.066650390625
True,False,True,True,False,True,True,False,True,True,False,False,SELECT img1_table.img_name FROM img1_table GROUP BY img1_table.img_name ;,"{'FILTER_LOW', 'SORTING', 'JOIN'}",4,0.06718158721923828
True,False,True,True,False,True,True,False,True,False,False,True,SELECT * FROM img1_table ORDER BY img1_table.img_name ;,"{'FILTER_LOW', 'JOIN', 'GROUPING'}",0,0.1975259780883789
